date,team,opponent,goals_for,goals_against,result,competition
2025-03-21,DR Congo,Czech Republic,1,4,L,Continental Championship
2025-03-21,Haiti,Scotland,1,0,W,World Cup Qualifier
2025-03-21,Japan,South Korea,0,2,L,Continental Championship
2025-03-21,United States,Sweden,1,4,L,World Cup Qualifier
2025-03-22,Netherlands,France,2,0,W,International Friendly
2025-03-23,Norway,Iran,0,2,L,International Friendly
2025-03-23,Czech Republic,Uzbekistan,2,2,W,Continental Championship
2025-03-23,Germany,Panama,1,1,D,World Cup Qualifier
2025-03-24,England,Senegal,1,1,D,World Cup Qualifier
2025-03-24,Mexico,DR Congo,3,1,W,Continental Championship
2025-03-24,Ecuador,Cape Verde,1,1,D,International Friendly
2025-03-24,Ivory Coast,Panama,1,2,W,Continental Championship
2025-03-25,Uzbekistan,Jordan,2,0,W,International Friendly
2025-03-25,Mexico,Sweden,0,1,L,International Friendly
2025-03-26,Iran,Sweden,2,0,W,World Cup Qualifier
2025-03-26,Sweden,Portugal,3,0,W,International Friendly
2025-03-26,Morocco,Algeria,4,1,W,World Cup Qualifier
2025-03-27,Türkiye,Uzbekistan,3,0,W,Continental Championship
2025-03-27,Japan,Qatar,2,0,W,Continental Championship
2025-03-28,Canada,DR Congo,2,1,L,World Cup Qualifier
2025-03-28,Australia,Iran,2,2,D,Continental Championship
2025-03-28,Portugal,Japan,1,0,W,World Cup Qualifier
2025-03-28,France,Brazil,1,2,W,Continental Championship
2025-03-28,Mexico,Scotland,0,3,L,Continental Championship
2025-03-28,Algeria,Portugal,2,0,W,World Cup Qualifier
2025-03-29,Scotland,Argentina,1,1,L,Continental Championship
2025-03-29,Mexico,Spain,4,2,W,World Cup Qualifier
2025-03-29,Austria,Colombia,1,2,L,International Friendly
2025-03-30,Portugal,Morocco,4,1,W,International Friendly
2025-03-31,South Korea,Mexico,1,1,D,Continental Championship
2025-03-31,Brazil,New Zealand,2,2,D,Continental Championship
2025-04-01,Argentina,Ghana,1,0,W,International Friendly
2025-04-01,DR Congo,Ghana,1,1,W,World Cup Qualifier
2025-04-01,Paraguay,Curaçao,3,0,W,World Cup Qualifier
2025-04-02,Paraguay,Türkiye,2,0,W,World Cup Qualifier
2025-04-02,Norway,Switzerland,1,1,L,Continental Championship
2025-04-02,England,Spain,1,1,D,Continental Championship
2025-04-02,Ivory Coast,Morocco,1,2,L,World Cup Qualifier
2025-04-03,United States,Egypt,1,1,D,World Cup Qualifier
2025-04-03,Netherlands,South Africa,2,0,W,International Friendly
2025-04-03,Germany,Ghana,1,2,W,International Friendly
2025-04-03,Australia,Curaçao,1,1,W,World Cup Qualifier
2025-04-04,Iraq,Australia,2,0,W,World Cup Qualifier
2025-04-04,Croatia,Jordan,2,1,W,World Cup Qualifier
2025-04-04,Panama,Japan,0,0,D,Continental Championship
2025-04-05,Morocco,Panama,1,3,L,Continental Championship
2025-04-06,New Zealand,Egypt,3,2,W,Continental Championship
2025-04-06,Colombia,Portugal,0,1,L,International Friendly
2025-04-07,Algeria,Senegal,1,2,L,World Cup Qualifier
2025-04-07,Netherlands,Panama,1,1,D,Continental Championship
2025-04-07,South Africa,Bosnia and Herzegovina,1,0,W,World Cup Qualifier
2025-04-08,Norway,Netherlands,2,1,W,International Friendly
2025-04-08,Cape Verde,Egypt,1,1,D,International Friendly
2025-04-08,Croatia,Germany,1,0,W,International Friendly
2025-04-08,United States,Croatia,1,0,W,International Friendly
2025-04-09,Bosnia and Herzegovina,Algeria,2,2,W,International Friendly
2025-04-09,United States,Türkiye,4,1,W,World Cup Qualifier
2025-04-09,Iraq,Sweden,0,0,D,World Cup Qualifier
2025-04-10,Spain,Portugal,0,0,D,World Cup Qualifier
2025-04-10,Belgium,Scotland,2,0,W,Continental Championship
2025-04-10,Ecuador,Curaçao,1,2,W,International Friendly
2025-04-10,Haiti,France,1,1,D,Continental Championship
2025-04-11,Japan,Paraguay,1,0,W,Continental Championship
2025-04-12,Algeria,Morocco,2,2,D,International Friendly
2025-04-12,Jordan,Scotland,0,2,L,World Cup Qualifier
2025-04-13,Iran,Sweden,1,1,L,International Friendly
2025-04-13,Tunisia,France,0,0,D,International Friendly
2025-04-14,Scotland,France,1,1,D,International Friendly
2025-04-14,Argentina,Saudi Arabia,2,1,W,International Friendly
2025-04-14,Colombia,Jordan,0,0,D,International Friendly
2025-04-15,Jordan,Portugal,2,1,W,World Cup Qualifier
2025-04-15,Ecuador,Colombia,1,2,L,Continental Championship
2025-04-15,Portugal,Spain,2,0,W,International Friendly
2025-04-16,Czech Republic,Austria,1,3,L,Continental Championship
2025-04-16,Uruguay,Iraq,2,0,W,World Cup Qualifier
2025-04-16,Cape Verde,Haiti,1,1,L,Continental Championship
2025-04-17,Panama,Scotland,1,1,D,World Cup Qualifier
2025-04-17,Japan,Curaçao,1,2,L,Continental Championship
2025-04-17,Canada,South Korea,1,1,W,World Cup Qualifier
2025-04-17,Spain,Japan,0,1,L,World Cup Qualifier
2025-04-17,Saudi Arabia,Curaçao,1,1,W,International Friendly
2025-04-18,Haiti,Scotland,2,0,W,Continental Championship
2025-04-18,Cape Verde,Algeria,0,0,D,World Cup Qualifier
2025-04-18,Iran,Qatar,0,2,L,International Friendly
2025-04-18,France,Croatia,2,1,W,International Friendly
2025-04-19,Mexico,Bosnia and Herzegovina,1,1,W,World Cup Qualifier
2025-04-19,Uruguay,Iraq,2,3,L,World Cup Qualifier
2025-04-19,Ecuador,Türkiye,1,0,W,Continental Championship
2025-04-20,Sweden,Qatar,1,0,W,Continental Championship
2025-04-20,Paraguay,Algeria,0,0,D,World Cup Qualifier
2025-04-21,Panama,Scotland,0,2,L,Continental Championship
2025-04-22,Iraq,Bosnia and Herzegovina,2,0,W,World Cup Qualifier
2025-04-22,France,Croatia,1,0,W,International Friendly
2025-04-23,Spain,Panama,3,1,W,International Friendly
2025-04-23,United States,France,2,3,L,International Friendly
2025-04-24,Australia,Spain,1,1,L,Continental Championship
2025-04-24,South Korea,Czech Republic,1,1,L,Continental Championship
2025-04-24,Portugal,United States,1,0,W,World Cup Qualifier
2025-04-25,England,Germany,2,2,D,World Cup Qualifier
2025-04-26,England,Spain,0,1,L,Continental Championship
2025-04-26,Japan,Norway,1,0,W,International Friendly
2025-04-26,Morocco,Uzbekistan,0,2,L,World Cup Qualifier
2025-04-26,Norway,Curaçao,3,1,W,Continental Championship
2025-04-27,Bosnia and Herzegovina,Uzbekistan,1,0,W,World Cup Qualifier
2025-04-27,Türkiye,Mexico,0,1,L,Continental Championship
2025-04-27,Germany,Qatar,1,1,W,Continental Championship
2025-04-28,Ivory Coast,South Africa,3,2,W,International Friendly
2025-04-28,Croatia,Uzbekistan,0,0,D,International Friendly
2025-04-29,South Korea,Türkiye,1,0,W,World Cup Qualifier
2025-04-29,Ghana,Brazil,2,2,D,Continental Championship
2025-04-29,Algeria,Curaçao,2,0,W,International Friendly
2025-04-30,Sweden,South Korea,1,1,D,World Cup Qualifier
2025-04-30,Ghana,Croatia,1,1,D,International Friendly
2025-05-01,Jordan,Australia,1,1,D,World Cup Qualifier
2025-05-01,Haiti,Uzbekistan,1,2,L,World Cup Qualifier
2025-05-01,Egypt,Algeria,1,1,D,World Cup Qualifier
2025-05-02,South Africa,Switzerland,1,1,D,International Friendly
2025-05-02,Netherlands,Canada,1,1,W,Continental Championship
2025-05-03,Senegal,South Korea,0,1,L,World Cup Qualifier
2025-05-03,Panama,South Korea,0,2,L,International Friendly
2025-05-03,Croatia,Jordan,1,1,D,Continental Championship
2025-05-04,United States,Tunisia,1,2,W,World Cup Qualifier
2025-05-04,Jordan,Curaçao,3,0,W,International Friendly
2025-05-04,Croatia,Tunisia,1,1,W,Continental Championship
2025-05-04,Curaçao,Saudi Arabia,2,3,L,World Cup Qualifier
2025-05-04,DR Congo,Türkiye,2,1,W,World Cup Qualifier
2025-05-05,Scotland,Colombia,2,1,W,World Cup Qualifier
2025-05-05,Portugal,Spain,1,1,L,International Friendly
2025-05-05,Croatia,Iraq,1,2,L,International Friendly
2025-05-05,Egypt,Qatar,2,0,W,International Friendly
2025-05-06,Australia,Paraguay,2,0,W,International Friendly
2025-05-06,Austria,Switzerland,2,1,W,Continental Championship
2025-05-06,Germany,South Korea,4,0,W,World Cup Qualifier
2025-05-06,Switzerland,South Africa,0,3,L,Continental Championship
2025-05-07,Senegal,Iraq,1,0,W,World Cup Qualifier
2025-05-08,Czech Republic,Croatia,1,1,D,Continental Championship
2025-05-08,Portugal,Japan,0,1,L,World Cup Qualifier
2025-05-08,Algeria,Canada,2,1,W,International Friendly
2025-05-08,Egypt,DR Congo,2,0,W,World Cup Qualifier
2025-05-09,Morocco,Canada,0,0,D,World Cup Qualifier
2025-05-09,Iran,Bosnia and Herzegovina,1,1,D,Continental Championship
2025-05-09,Germany,Croatia,2,2,D,Continental Championship
2025-05-10,Australia,Ghana,1,1,D,Continental Championship
2025-05-10,Türkiye,Uzbekistan,1,1,D,International Friendly
2025-05-10,Scotland,France,1,1,D,International Friendly
2025-05-11,Sweden,South Africa,1,1,D,World Cup Qualifier
2025-05-11,Canada,Ivory Coast,2,1,L,Continental Championship
2025-05-12,France,Paraguay,2,2,W,International Friendly
2025-05-12,United States,Curaçao,3,1,W,Continental Championship
2025-05-12,Switzerland,Colombia,4,1,W,World Cup Qualifier
2025-05-12,Mexico,Portugal,2,0,W,World Cup Qualifier
2025-05-12,DR Congo,Mexico,0,0,D,World Cup Qualifier
2025-05-12,Spain,South Korea,1,1,W,World Cup Qualifier
2025-05-12,Jordan,South Korea,0,0,D,International Friendly
2025-05-13,South Africa,Ecuador,2,0,W,World Cup Qualifier
2025-05-13,Brazil,Ivory Coast,1,1,D,World Cup Qualifier
2025-05-13,Morocco,Cape Verde,2,2,W,World Cup Qualifier
2025-05-13,Bosnia and Herzegovina,Ghana,1,1,W,Continental Championship
2025-05-13,Iraq,Belgium,1,4,L,Continental Championship
2025-05-14,Saudi Arabia,Spain,0,2,L,World Cup Qualifier
2025-05-14,Scotland,Netherlands,3,0,W,International Friendly
2025-05-14,Germany,Jordan,4,0,W,World Cup Qualifier
2025-05-14,Uzbekistan,Austria,0,2,L,World Cup Qualifier
2025-05-14,Haiti,Belgium,2,1,W,World Cup Qualifier
2025-05-14,Norway,DR Congo,1,0,W,International Friendly
2025-05-15,Croatia,Paraguay,1,0,W,World Cup Qualifier
2025-05-15,Argentina,Cape Verde,1,1,D,World Cup Qualifier
2025-05-15,Argentina,Haiti,0,0,D,Continental Championship
2025-05-15,Cape Verde,Iran,1,0,W,Continental Championship
2025-05-16,Egypt,Japan,1,2,L,Continental Championship
2025-05-16,Cape Verde,Paraguay,3,0,W,World Cup Qualifier
2025-05-16,DR Congo,Paraguay,2,1,L,World Cup Qualifier
2025-05-17,Ecuador,Bosnia and Herzegovina,3,1,W,International Friendly
2025-05-17,Panama,Curaçao,1,1,D,Continental Championship
2025-05-17,Panama,Argentina,2,2,D,International Friendly
2025-05-17,New Zealand,Germany,2,2,L,International Friendly
2025-05-18,Panama,Netherlands,2,2,D,World Cup Qualifier
2025-05-18,Austria,Iran,1,2,W,International Friendly
2025-05-18,Canada,Egypt,1,1,D,International Friendly
2025-05-18,Canada,Saudi Arabia,2,2,D,Continental Championship
2025-05-18,South Africa,Egypt,1,0,W,Continental Championship
2025-05-19,Paraguay,DR Congo,3,1,W,International Friendly
2025-05-20,Colombia,Türkiye,1,1,D,International Friendly
2025-05-21,Panama,Bosnia and Herzegovina,0,2,L,World Cup Qualifier
2025-05-21,Iran,Germany,1,1,D,International Friendly
2025-05-22,Switzerland,Curaçao,1,2,W,International Friendly
2025-05-22,Saudi Arabia,Switzerland,3,0,W,Continental Championship
2025-05-23,Tunisia,Canada,0,0,D,World Cup Qualifier
2025-05-23,Ivory Coast,Cape Verde,3,0,W,World Cup Qualifier
2025-05-24,Cape Verde,Saudi Arabia,2,2,D,International Friendly
2025-05-24,Uzbekistan,Iran,2,2,D,International Friendly
2025-05-25,Paraguay,Brazil,2,1,L,International Friendly
2025-05-25,Egypt,Paraguay,1,1,D,Continental Championship
2025-05-25,Algeria,Australia,1,1,D,World Cup Qualifier
2025-05-25,Qatar,Tunisia,1,1,L,International Friendly
2025-05-26,Haiti,Algeria,3,0,W,World Cup Qualifier
2025-05-27,DR Congo,Saudi Arabia,0,1,L,International Friendly
2025-05-27,Spain,Panama,2,0,W,International Friendly
2025-05-28,Algeria,Saudi Arabia,1,1,D,International Friendly
2025-05-28,Tunisia,England,0,1,L,World Cup Qualifier
2025-05-28,Tunisia,Qatar,1,1,W,World Cup Qualifier
2025-05-29,Germany,Norway,2,0,W,World Cup Qualifier
2025-05-29,Ecuador,Norway,1,1,L,International Friendly
2025-05-30,Algeria,South Africa,0,1,L,International Friendly
2025-05-30,England,Qatar,1,0,W,Continental Championship
2025-05-30,England,Ivory Coast,2,2,D,Continental Championship
2025-05-30,Bosnia and Herzegovina,Australia,1,1,D,World Cup Qualifier
2025-05-30,Ghana,Egypt,2,1,W,International Friendly
2025-05-30,Haiti,Austria,1,0,W,World Cup Qualifier
2025-05-31,Jordan,South Africa,1,1,D,International Friendly
2025-05-31,DR Congo,Colombia,1,1,W,Continental Championship
2025-05-31,Ivory Coast,Norway,0,1,L,International Friendly
2025-05-31,DR Congo,Iraq,3,0,W,Continental Championship
2025-05-31,Croatia,Iran,3,0,W,International Friendly
2025-06-01,Spain,Senegal,2,1,W,World Cup Qualifier
2025-06-02,Austria,Paraguay,2,1,W,Continental Championship
2025-06-02,Algeria,DR Congo,1,1,D,Continental Championship
2025-06-02,Belgium,Netherlands,1,1,D,World Cup Qualifier
2025-06-02,Mexico,Panama,3,1,W,International Friendly
2025-06-02,South Korea,Paraguay,2,1,W,International Friendly
2025-06-03,Portugal,Ivory Coast,2,1,W,International Friendly
2025-06-03,Panama,Egypt,0,0,D,International Friendly
2025-06-03,Jordan,Uruguay,0,3,L,International Friendly
2025-06-03,Morocco,Portugal,1,1,D,Continental Championship
2025-06-05,South Korea,Ghana,1,0,W,Continental Championship
2025-06-05,England,United States,0,1,L,International Friendly
2025-06-05,Morocco,Egypt,1,1,W,Continental Championship
2025-06-06,Jordan,Paraguay,1,1,D,World Cup Qualifier
2025-06-07,Czech Republic,Bosnia and Herzegovina,1,1,D,World Cup Qualifier
2025-06-07,Brazil,Iraq,3,3,D,World Cup Qualifier
2025-06-07,France,Mexico,1,2,W,World Cup Qualifier
2025-06-08,Germany,Ghana,1,4,L,International Friendly
2025-06-08,Argentina,United States,2,2,D,World Cup Qualifier
2025-06-08,Mexico,Brazil,1,1,L,Continental Championship
2025-06-09,Morocco,Austria,1,2,L,International Friendly
2025-06-09,New Zealand,Australia,1,1,W,Continental Championship
2025-06-10,Tunisia,Switzerland,0,0,D,International Friendly
2025-06-10,Cape Verde,Mexico,1,1,D,World Cup Qualifier
2025-06-10,Uzbekistan,Croatia,0,1,L,Continental Championship
2025-06-10,Belgium,Bosnia and Herzegovina,2,1,W,World Cup Qualifier
2025-06-11,Argentina,Czech Republic,2,0,W,World Cup Qualifier
2025-06-11,Austria,Switzerland,1,1,W,World Cup Qualifier
2025-06-11,Uzbekistan,DR Congo,1,1,L,Continental Championship
2025-06-11,Haiti,Algeria,1,2,W,World Cup Qualifier
2025-06-12,Uruguay,Colombia,0,1,L,World Cup Qualifier
2025-06-12,Sweden,Spain,1,3,L,World Cup Qualifier
2025-06-13,Brazil,Ecuador,1,0,W,Continental Championship
2025-06-13,Japan,Colombia,2,2,D,International Friendly
2025-06-13,Cape Verde,New Zealand,1,1,D,World Cup Qualifier
2025-06-13,Qatar,Ecuador,0,1,L,Continental Championship
2025-06-15,Belgium,Czech Republic,2,0,W,World Cup Qualifier
2025-06-16,Cape Verde,Scotland,1,1,D,Continental Championship
2025-06-16,Ivory Coast,Senegal,3,0,W,Continental Championship
2025-06-16,Switzerland,Uruguay,2,0,W,International Friendly
2025-06-16,Australia,South Africa,1,1,W,World Cup Qualifier
2025-06-16,Colombia,Saudi Arabia,0,0,D,World Cup Qualifier
2025-06-17,Algeria,Belgium,1,0,W,International Friendly
2025-06-17,Iraq,DR Congo,0,1,L,World Cup Qualifier
2025-06-17,South Korea,Algeria,4,1,W,World Cup Qualifier
2025-06-17,Egypt,Algeria,1,1,W,World Cup Qualifier
2025-06-18,France,Paraguay,1,1,D,World Cup Qualifier
2025-06-18,Belgium,Curaçao,1,0,W,International Friendly
2025-06-18,South Korea,Türkiye,1,1,D,Continental Championship
2025-06-19,New Zealand,Sweden,3,0,W,International Friendly
2025-06-19,Senegal,Morocco,2,1,W,World Cup Qualifier
2025-06-19,Curaçao,Senegal,3,0,W,Continental Championship
2025-06-19,United States,Norway,2,0,W,World Cup Qualifier
2025-06-21,Mexico,United States,0,0,D,International Friendly
2025-06-22,DR Congo,France,0,1,L,Continental Championship
2025-06-22,Senegal,Ghana,1,0,W,International Friendly
2025-06-23,Belgium,Haiti,0,1,L,Continental Championship
2025-06-23,Canada,Portugal,1,1,D,International Friendly
2025-06-23,Curaçao,Saudi Arabia,3,3,D,Continental Championship
2025-06-24,Qatar,Argentina,2,2,L,World Cup Qualifier
2025-06-24,Australia,Czech Republic,1,3,L,Continental Championship
2025-06-24,Colombia,Sweden,0,4,L,World Cup Qualifier
2025-06-24,Scotland,New Zealand,0,1,L,Continental Championship
2025-06-25,Bosnia and Herzegovina,New Zealand,0,0,D,Continental Championship
2025-06-26,Brazil,France,1,3,L,International Friendly
2025-06-26,Iraq,Jordan,1,1,D,Continental Championship
2025-06-26,Mexico,Spain,1,1,W,World Cup Qualifier
2025-06-26,Spain,Austria,2,0,W,International Friendly
2025-06-26,Jordan,Germany,0,2,L,World Cup Qualifier
2025-06-26,England,Netherlands,2,2,D,World Cup Qualifier
2025-06-27,Paraguay,Netherlands,1,1,D,International Friendly
2025-06-27,Germany,Czech Republic,1,0,W,World Cup Qualifier
2025-06-28,Portugal,Bosnia and Herzegovina,0,0,D,World Cup Qualifier
2025-06-29,Algeria,Haiti,1,1,D,World Cup Qualifier
2025-06-29,Canada,Ivory Coast,0,0,D,World Cup Qualifier
2025-06-30,Morocco,Iraq,0,2,L,International Friendly
2025-06-30,Czech Republic,Ecuador,1,0,W,Continental Championship
2025-06-30,Japan,Spain,1,3,L,International Friendly
2025-06-30,South Africa,Norway,1,1,W,Continental Championship
2025-07-01,Iraq,Türkiye,0,1,L,World Cup Qualifier
2025-07-01,Argentina,Czech Republic,1,0,W,Continental Championship
2025-07-01,Senegal,Ivory Coast,0,3,L,International Friendly
2025-07-01,Saudi Arabia,Switzerland,0,2,L,World Cup Qualifier
2025-07-02,Australia,Egypt,1,0,W,International Friendly
2025-07-02,Haiti,Sweden,3,0,W,International Friendly
2025-07-03,Belgium,Germany,1,1,D,International Friendly
2025-07-04,New Zealand,Paraguay,0,0,D,International Friendly
2025-07-04,Norway,Panama,1,1,D,International Friendly
2025-07-05,Argentina,France,3,1,W,International Friendly
2025-07-06,Argentina,England,3,2,W,World Cup Qualifier
2025-07-06,England,Australia,2,2,D,World Cup Qualifier
2025-07-06,Panama,Iraq,1,0,W,International Friendly
2025-07-06,Uzbekistan,Portugal,0,1,L,International Friendly
2025-07-06,Germany,Cape Verde,1,2,L,International Friendly
2025-07-06,Haiti,Tunisia,1,0,W,Continental Championship
2025-07-06,Mexico,Argentina,1,1,D,World Cup Qualifier
2025-07-07,South Africa,Tunisia,2,2,D,World Cup Qualifier
2025-07-07,England,Ivory Coast,2,0,W,Continental Championship
2025-07-07,DR Congo,Germany,2,2,W,World Cup Qualifier
2025-07-07,Brazil,Iran,1,1,W,International Friendly
2025-07-07,Switzerland,France,0,0,D,International Friendly
2025-07-08,Algeria,Switzerland,1,0,W,Continental Championship
2025-07-08,Canada,Japan,0,1,L,International Friendly
2025-07-09,Brazil,Curaçao,1,0,W,International Friendly
2025-07-09,Netherlands,United States,2,0,W,International Friendly
2025-07-10,Algeria,United States,1,1,W,World Cup Qualifier
2025-07-10,Curaçao,Brazil,1,1,D,World Cup Qualifier
2025-07-10,Austria,Curaçao,1,2,W,World Cup Qualifier
2025-07-11,Algeria,Colombia,2,0,W,World Cup Qualifier
2025-07-11,Belgium,Uzbekistan,2,0,W,World Cup Qualifier
2025-07-12,Cape Verde,Spain,0,2,L,Continental Championship
2025-07-12,Tunisia,Ecuador,3,3,D,International Friendly
2025-07-12,Senegal,Portugal,1,1,W,World Cup Qualifier
2025-07-12,Cape Verde,Japan,2,0,W,World Cup Qualifier
2025-07-12,Czech Republic,Iran,0,3,L,World Cup Qualifier
2025-07-13,Scotland,Spain,3,0,W,International Friendly
2025-07-14,Ivory Coast,Uruguay,2,0,W,World Cup Qualifier
2025-07-14,Paraguay,Colombia,2,0,W,International Friendly
2025-07-14,Uzbekistan,Spain,0,2,L,World Cup Qualifier
2025-07-15,Panama,South Africa,0,1,L,International Friendly
2025-07-15,Portugal,Panama,1,1,W,International Friendly
2025-07-15,Austria,Brazil,1,1,D,International Friendly
2025-07-16,Scotland,Cape Verde,1,2,L,International Friendly
2025-07-16,France,Jordan,1,1,D,International Friendly
2025-07-16,Portugal,Morocco,1,2,W,World Cup Qualifier
2025-07-17,United States,Panama,2,0,W,International Friendly
2025-07-18,Germany,Argentina,0,0,D,Continental Championship
2025-07-18,Jordan,Argentina,1,2,L,Continental Championship
2025-07-18,Iraq,Bosnia and Herzegovina,3,2,W,International Friendly
2025-07-18,Germany,Uruguay,3,2,W,World Cup Qualifier
2025-07-19,Egypt,Scotland,0,2,L,World Cup Qualifier
2025-07-19,Bosnia and Herzegovina,Senegal,1,0,W,World Cup Qualifier
2025-07-19,Ghana,Ivory Coast,1,3,L,Continental Championship
2025-07-20,Portugal,Australia,1,1,L,International Friendly
2025-07-20,Mexico,Ecuador,4,1,W,International Friendly
2025-07-20,Qatar,Panama,1,0,W,World Cup Qualifier
2025-07-20,Saudi Arabia,Senegal,0,1,L,Continental Championship
2025-07-21,Argentina,Canada,2,2,D,Continental Championship
2025-07-21,Jordan,Cape Verde,2,2,D,Continental Championship
2025-07-22,Austria,Ivory Coast,1,2,W,International Friendly
2025-07-22,Senegal,Uruguay,0,1,L,World Cup Qualifier
2025-07-22,Iran,Germany,0,0,D,Continental Championship
2025-07-23,Canada,Haiti,0,0,D,World Cup Qualifier
2025-07-23,Jordan,Haiti,1,2,W,Continental Championship
2025-07-23,Qatar,DR Congo,1,1,D,International Friendly
2025-07-23,Ivory Coast,Czech Republic,1,1,W,International Friendly
2025-07-24,Panama,United States,2,0,W,Continental Championship
2025-07-24,Japan,Netherlands,0,0,D,International Friendly
2025-07-24,Japan,Brazil,3,0,W,International Friendly
2025-07-25,Norway,Senegal,3,0,W,International Friendly
2025-07-25,Argentina,Croatia,1,1,W,Continental Championship
2025-07-25,Czech Republic,Norway,3,0,W,International Friendly
2025-07-26,Colombia,Cape Verde,0,0,D,International Friendly
2025-07-26,Ecuador,Switzerland,1,0,W,World Cup Qualifier
2025-07-26,Qatar,United States,1,1,D,International Friendly
2025-07-27,Netherlands,Panama,0,0,D,Continental Championship
2025-07-27,Australia,Canada,0,2,L,International Friendly
2025-07-27,Canada,New Zealand,1,1,W,World Cup Qualifier
2025-07-27,Mexico,Spain,2,0,W,World Cup Qualifier
2025-07-28,Türkiye,Uruguay,1,1,D,International Friendly
2025-07-28,Colombia,Canada,1,2,W,International Friendly
2025-07-28,Colombia,England,1,1,L,International Friendly
2025-07-28,Tunisia,Uzbekistan,0,3,L,Continental Championship
2025-07-28,United States,Argentina,1,1,L,World Cup Qualifier
2025-07-28,Belgium,Ecuador,3,3,D,World Cup Qualifier
2025-07-28,Norway,Saudi Arabia,2,2,W,International Friendly
2025-07-29,South Africa,Mexico,2,0,W,World Cup Qualifier
2025-07-29,England,Saudi Arabia,2,0,W,Continental Championship
2025-07-29,Senegal,Belgium,3,3,D,Continental Championship
2025-07-30,Haiti,Bosnia and Herzegovina,2,0,W,International Friendly
2025-07-30,Croatia,Argentina,0,3,L,International Friendly
2025-07-30,Uzbekistan,Egypt,3,1,W,Continental Championship
2025-07-30,Morocco,France,1,2,W,World Cup Qualifier
2025-07-30,Cape Verde,United States,1,0,W,Continental Championship
2025-07-30,Egypt,Senegal,0,0,D,International Friendly
2025-07-31,Austria,Tunisia,1,0,W,World Cup Qualifier
2025-07-31,Croatia,Morocco,0,2,L,World Cup Qualifier
2025-08-01,Tunisia,Qatar,0,1,L,World Cup Qualifier
2025-08-01,United States,Japan,3,0,W,International Friendly
2025-08-01,Paraguay,Uzbekistan,1,1,D,World Cup Qualifier
2025-08-02,Japan,France,2,3,L,World Cup Qualifier
2025-08-02,Argentina,Iran,1,1,D,World Cup Qualifier
2025-08-03,Senegal,South Korea,0,1,L,Continental Championship
2025-08-03,Cape Verde,Czech Republic,0,0,D,Continental Championship
2025-08-03,Haiti,Curaçao,0,1,L,World Cup Qualifier
2025-08-03,Canada,Ivory Coast,2,2,W,World Cup Qualifier
2025-08-04,Egypt,Türkiye,1,0,W,Continental Championship
2025-08-04,Argentina,Ecuador,0,4,L,International Friendly
2025-08-04,Australia,Qatar,1,3,L,Continental Championship
2025-08-05,Norway,Spain,4,1,W,World Cup Qualifier
2025-08-05,South Korea,Saudi Arabia,1,1,W,World Cup Qualifier
2025-08-05,Algeria,Türkiye,1,2,L,International Friendly
2025-08-05,Brazil,Ghana,1,0,W,International Friendly
2025-08-06,Mexico,DR Congo,1,0,W,World Cup Qualifier
2025-08-06,Scotland,Germany,2,2,L,International Friendly
2025-08-06,Morocco,Ecuador,0,2,L,Continental Championship
2025-08-07,Iraq,Netherlands,0,1,L,World Cup Qualifier
2025-08-07,Sweden,Ecuador,3,3,D,World Cup Qualifier
2025-08-07,South Africa,Sweden,0,0,D,Continental Championship
2025-08-08,Jordan,Panama,1,1,L,World Cup Qualifier
2025-08-08,Tunisia,Qatar,0,0,D,Continental Championship
2025-08-08,Haiti,Sweden,1,1,D,Continental Championship
2025-08-08,Japan,DR Congo,2,0,W,Continental Championship
2025-08-08,Tunisia,Belgium,0,2,L,World Cup Qualifier
2025-08-09,Panama,Canada,2,2,D,World Cup Qualifier
2025-08-09,Jordan,Saudi Arabia,1,1,D,Continental Championship
2025-08-10,Panama,Argentina,1,2,L,Continental Championship
2025-08-10,Qatar,Belgium,0,0,D,World Cup Qualifier
2025-08-10,Croatia,Uruguay,1,2,L,International Friendly
2025-08-10,Egypt,Morocco,1,0,W,Continental Championship
2025-08-10,Switzerland,Canada,2,1,W,International Friendly
2025-08-11,Australia,United States,1,2,L,Continental Championship
2025-08-11,Tunisia,Curaçao,1,1,D,Continental Championship
2025-08-12,Australia,Sweden,3,0,W,Continental Championship
2025-08-12,Türkiye,Morocco,2,3,L,World Cup Qualifier
2025-08-13,Ecuador,DR Congo,1,3,L,Continental Championship
2025-08-13,Türkiye,Norway,0,1,L,International Friendly
2025-08-15,Algeria,New Zealand,1,2,L,International Friendly
2025-08-15,Canada,Austria,2,1,W,Continental Championship
2025-08-15,Japan,Qatar,1,3,L,International Friendly
2025-08-15,Türkiye,Sweden,1,3,L,World Cup Qualifier
2025-08-16,DR Congo,Ecuador,1,1,W,International Friendly
2025-08-16,Colombia,Iraq,3,0,W,International Friendly
2025-08-16,Sweden,Senegal,1,2,W,Continental Championship
2025-08-16,Germany,Curaçao,0,1,L,Continental Championship
2025-08-17,Senegal,Tunisia,2,1,L,World Cup Qualifier
2025-08-17,Sweden,England,2,2,L,World Cup Qualifier
2025-08-17,Morocco,Uruguay,1,2,L,International Friendly
2025-08-18,Switzerland,Brazil,2,2,L,Continental Championship
2025-08-18,Sweden,Belgium,1,1,L,International Friendly
2025-08-18,Australia,DR Congo,1,1,D,International Friendly
2025-08-18,Ivory Coast,South Africa,4,0,W,World Cup Qualifier
